Participant,Block Design Raw Score,Step,Chest Distance,HeadCamera Distance,LeftElbow Distance,LeftShoulder Distance,MotionControllerLeft Distance,MotionControllerRight Distance,RightElbow Distance,RightShoulder Distance
C001,36,Add Sugar ,502.8014697147496,633.8930346975187,683.3268035736447,670.7844694712695,785.1998027646596,1612.699496079801,0.0,0.0
C001,36,Add apples to pan,604.9345123910961,891.5378044292502,751.7202618679646,712.5618058790216,979.3413819849716,3126.0591973320456,0.0,0.0
C001,36,Add bottom crust,109.13907624750038,163.63625121067346,191.54868071019314,197.37612034903287,205.08166418688666,406.8637648378344,0.0,0.0
C001,36,Add butter,571.1262969705151,849.5801646953846,931.1407853616554,945.6055585735932,1027.6315647657696,1652.8063240654883,0.0,0.0
C001,36,Add cinnamon,332.50789223976085,473.7226551150295,552.750738297111,459.6711703593489,679.0540742956609,936.6551772895259,0.0,0.0
C001,36,Add crust top,209.48398572303014,263.1427340019813,294.5573393736075,274.9617386924653,290.21832199146354,618.7421984175965,0.0,0.0
C001,36,Add water,100.78941080260091,148.11986213070992,123.62498421539128,133.25645590849257,147.71646064556157,329.8766475501807,0.0,0.0
C001,36,Post last step,215.31324092521487,247.17534378696485,354.88199184417715,311.9586426067665,345.33845049411127,433.4129466750806,0.0,0.0
C001,36,Pour syrup,131.55993988549312,219.38301232088182,243.4102759974129,230.4123761677299,263.8788534161139,310.6883877588758,0.0,0.0
C001,36,Put pie in oven,417.70535666387457,646.9879732881334,521.0098787226488,508.3004520686044,499.22294378735745,1049.358870576449,0.0,0.0
C001,36,Stir bowl,200.1349457621206,336.2159918409318,295.0813820427146,279.0039406332745,348.43320540397906,873.6217427902998,0.0,0.0
C003,58,Add Sugar ,418.8307656923598,537.9795606167323,616.7229952092518,622.9059996228361,1034.5226387810442,1007.3085316598056,825.2254184436338,662.5381798733381
C003,58,Add apples to pan,536.2362111508893,735.3264288890776,2176.4577606429657,648.6309876608941,1107.6484391598417,3382.4300480561933,1766.212367115214,1244.3506964042024
C003,58,Add bottom crust,90.05302821271445,122.15925768472864,60.55161156269857,51.29911144319111,86.51262387753869,337.5531966577395,240.98763006734663,136.2109679646355
C003,58,Add butter,138.90798589205616,221.94056021251134,358.5313512340747,277.60682866035813,461.16723795984933,310.71766647568245,214.2936084862938,176.9084573482038
C003,58,Add cinnamon,63.216986305240546,94.90160459721096,87.89735065956941,50.39299197642536,102.0298847729309,386.25036004638355,232.73239712640446,151.36151250631838
C003,58,Add crust top,76.42186419367283,90.49837519017984,49.3167251847879,84.40990583435823,71.15025729373895,424.4871479779373,305.0364676694072,189.4210690755473
C003,58,Add water,73.01473725746811,81.427020624871,145.7379728116331,114.2449992205638,212.48741115236894,237.53615645438032,160.9756069071413,109.22251585179548
C003,58,Post last step,309.4384976466536,556.3028676777784,466.10757587940964,542.7210200472387,561.4196347378388,1067.8513997913822,696.1002630934995,584.6755662227341
C003,58,Pour syrup,305.50526442013313,479.52857551197644,429.275106572856,315.3475768205858,553.7930429426864,524.2470506262007,377.6151766846862,338.69175208931483
C003,58,Put pie in oven,281.7707563357265,556.2043385162643,681.1186637036376,554.9320022910931,732.6316834708421,1029.5311505646046,733.8253503461983,632.0001048931185
C003,58,Stir bowl,147.83004584827546,230.28188559958363,288.5749412200473,430.445903854903,431.0757769061644,617.3405931512598,391.73563113429213,278.8278582660404
C006,42,Add Sugar ,0.0,401.7150933961534,0.0,0.0,530.2290845923458,538.6926838047934,0.0,0.0
C006,42,Add apples to pan,0.0,3379.2331171772894,0.0,0.0,2501.928454496261,4404.150571023765,0.0,0.0
C006,42,Add bottom crust,0.0,172.31757770286814,0.0,0.0,265.89730733639226,215.73103197836622,0.0,0.0
C006,42,Add butter,0.0,219.35331711703114,0.0,0.0,480.1632237917584,275.5168791393887,0.0,0.0
C006,42,Add cinnamon,0.0,467.61714837004735,0.0,0.0,845.1461498338142,791.1885341835707,0.0,0.0
C006,42,Add crust top,0.0,298.0587362619556,0.0,0.0,431.43690217541865,333.41438968964144,0.0,0.0
C006,42,Add water,0.0,7416.56226499086,0.0,0.0,5474.310173840426,4194.656739599393,0.0,0.0
C006,42,Post last step,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C006,42,Pour syrup,0.0,132.3126141551514,0.0,0.0,150.40219531693202,226.74714686862862,0.0,0.0
C006,42,Put pie in oven,0.0,531.1639768581999,0.0,0.0,435.57224589923885,1020.6324684626633,0.0,0.0
C006,42,Stir bowl,0.0,700.2413052191671,0.0,0.0,816.4989841369526,1994.8829677155904,0.0,0.0
C008,34,Add Sugar ,513.3353443363446,552.4608183488845,675.9348978350079,773.1416797865704,674.2868497738438,1209.7547350034224,1046.9566233253777,821.0645889593354
C008,34,Add apples to pan,2304.1631764284193,2880.191997227684,3410.4273453856554,3041.9116699111178,3421.640744134617,8070.0789534400865,6199.7436048562295,4392.008599925173
C008,34,Add bottom crust,118.70127155146838,171.11608571903426,192.3839105738084,172.99963018795017,218.15732249630028,253.71553123979248,201.80393054553716,158.16157138764333
C008,34,Add butter,486.3406828776756,710.0462549358591,545.4334512634665,590.9885744765099,587.8346174476062,1608.0159470255546,1291.2571481673992,984.4177546939158
