Participant,Block Design Raw Score,Step,Chest Distance,HeadCamera Distance,LeftElbow Distance,LeftShoulder Distance,MotionControllerLeft Distance,MotionControllerRight Distance,RightElbow Distance,RightShoulder Distance
C002,28,Add Beef,540.6345686080045,871.3853649952887,616.6273099752493,551.9607920558554,870.0544067802184,3283.678374409771,2454.7284678729893,1567.8486259155438
C002,28,Add Carrot,489.5208234434068,696.7938091942477,443.37156615435015,438.1144968623189,587.927154006667,3007.70939547777,2211.6653623979123,1453.4832208642727
C002,28,Add Onion,332.1136833611728,512.2373431421125,376.37839505813037,350.7686732664862,539.6464142879418,1903.1795972564605,1409.0493542424574,930.6400241381086
C002,28,Add Potato,453.84475228260936,635.018948469469,375.95741903914825,386.26908480084626,571.4027655406167,2683.2568471340774,2070.015822057564,1347.7784560355453
C002,28,Add Salt,67.30815156964097,100.69567608714159,43.81109874668327,65.16817839911303,32.53911587524054,462.47596932873876,304.9343636116847,243.12916046720835
C002,28,Add Tomtato,484.80839544351625,662.1747212995191,447.7070678822475,451.54631238287226,611.7949625224248,2483.162081654454,1970.6305170311446,1292.0228535430845
C002,28,Add pepper,87.8381654170042,125.80843620775582,60.77401850382643,76.59906657938228,71.0874390763159,463.02521668146983,367.4741574498173,241.84562470076688
C002,28,Post last step,260.809082197358,380.5549795517783,151.66246016678463,227.98735815484775,155.9696647152661,1536.7258165335893,1066.296865549319,693.2906106066653
C002,28,Pour Broth,373.1517627201598,506.63641117081414,388.62793845658234,495.2723886751516,409.22443710328224,725.8381033540254,1714.5310138495092,543.516110252704
C002,28,Stir Stew,114.03675562925284,182.00448833632214,75.46270735346255,106.14537807694225,75.78450003623192,710.1572021453622,437.3722590257685,334.35288227543583
C004,30,Add Beef,678.0210515704815,1056.024776539353,1333.0290257409204,1224.8469970855165,1953.4449002268382,1969.42919941004,1167.4510027183735,1245.3004030978116
C004,30,Add Carrot,509.73841938466137,686.7610769779071,1475.5091019649576,1198.633243505356,2128.8967330183664,967.1293514491072,649.0446873348322,580.6528972403647
C004,30,Add Onion,731.8590211462472,1033.5702560346988,1864.0659327094763,1475.386292249286,2715.486110311397,1454.264551603742,1008.2016063581049,785.7639273059979
C004,30,Add Potato,351.8373416492315,543.6615688391715,976.8305868989033,800.1723591168786,1422.6847116957642,902.1397250207837,526.305434775706,435.54257138902824
C004,30,Add Salt,0.0,96.65598259490787,0.0,45.27935335273651,0.0,268.85707081072127,192.17533074239424,175.79361070399435
C004,30,Add Tomtato,369.26675465707046,504.99122301773457,629.2733796787386,580.8316210938522,821.4962267213973,984.0741683066381,467.55606705920354,553.6254840943883
C004,30,Add pepper,53.893571321564636,206.82629049516447,241.8841865977825,220.62467719385398,336.3371111399997,451.6740590958974,323.8789292821584,237.24191805633677
C004,30,Post last step,131.78250066161863,1123.6792499763642,1658.8002583544398,1475.8123600872698,2542.822445648103,1724.687747011205,931.9853664499126,898.6931097884722
C004,30,Pour Broth,10.11783157601464,16.713581459521905,12.120758938887244,10.381538737138907,15.261552907868307,23.040013023587342,34.88796727656885,13.121553955389743
C004,30,Stir Stew,0.0,143.41190766686213,0.0,76.92659774970194,21.515680854384144,460.6681948563907,303.0003106441519,208.13213511642257
C005,46,Add Beef,527.9744403047047,676.8047925158578,1141.0016024949375,798.1776754613096,1330.3381882315794,1761.6357067239078,1366.8760456960501,1110.3222502808405
C005,46,Add Carrot,324.5312203078941,439.2320424915215,876.3857876568001,613.1363396623557,1101.9182600401132,1140.6261964548696,144.21300591371283,368.9899960337992
C005,46,Add Onion,298.92908818263004,421.55621809651734,594.8483040111585,443.2336574294432,681.3963395478683,1341.0522315391063,459.817378740987,231.0480740556729
C005,46,Add Salt,15.354183642328655,2.776932352686296,11.11340393619923,18.28116234594354,19.415406343438836,25.246574545977214,0.0,0.0
C005,46,Add Tomtato,384.63889836713327,442.0447660006643,709.0302356485818,512.6521475055082,803.7676822270887,1303.9646176964536,328.2664067587346,185.13300932601314
C005,46,Add pepper,270.01883746888564,316.3741443396319,488.6297699601421,458.81600262607316,597.4862436937574,742.6331428897627,397.68823802735244,347.938842106989
C005,46,Post last step,2464.9278558375754,3233.8565763128927,3979.591229543267,3988.9463704026875,4670.429901099478,8637.395063606684,5995.232854040182,6418.564617484986
C005,46,Pour Broth,6096.48927845336,7137.723438333028,1915.6279069233904,3666.3356261539607,3107.6828700685332,5926.886300021002,4252.28876163006,4541.550987055195
C005,46,Stir Stew,156.942824945727,395.65836481073336,499.92014641412834,563.429102705337,270.6653088631349,1118.1336637868621,653.6629825538341,316.67988140415264
C010,54,Add Beef,486.4028169857051,556.5283527571343,767.5678833842069,639.0537986281995,902.7915955137249,1525.0001565640869,1100.5787908899276,822.1794606934793
C010,54,Post last step,961.6307587021946,1050.9926993322806,1327.8645368475459,1188.8361155565797,1570.2029807905753,2498.413202554908,1732.2860303404009,1381.1239349594298
C010,54,Pour Broth,345.0899454751871,286.4745487031074,442.60272972738795,418.04475130565476,455.78726247933724,710.3332802603411,517.1383083291751,437.55701494187235
C011,34,Add Beef,757.5154055672027,902.6676772788541,998.5594755227911,844.9980409097573,907.6294515351294,3065.018581866461,1924.3783699441608,1372.7175403252045
C011,34,Add Onion,535.1108768705419,660.6869981807167,830.638095423539,650.438511778998,863.7627630729061,2460.243869207913,1334.6485127229303,957.1037587139483
C011,34,Add Potato,623.7418704772742,772.5730709415567,1343.259527444217,985.6520910970652,1841.6852275031786,1633.7509872858843,1040.3038618944233,846.8126595168466
C011,34,Add Tomtato,326.1189892096759,391.65933696814056,443.9145352241946,366.27523331374385,436.2446387322542,1767.0141615938994,1041.0870145402948,691.5172535633134
C011,34,Post last step,1123.4561834570081,1313.2027248545005,1523.5775933686625,1391.5173995425926,1971.2086065990093,3168.894687859056,2160.4229752263773,1683.995325848685
C011,34,Pour Broth,684.5956709653843,745.7663010838963,955.9885270891127,889.3740038195393,1348.4652234049747,1205.0199995909873,1017.7617613505013,927.3985744263448
C014,32,Add Carrot,572.1259445909922,621.4824426102286,1015.9764105120873,821.0792561128579,1371.7591755493422,2479.9558339884293,1795.7580415515542,1273.3148518081086
C014,32,Add Onion,389.5893668276015,551.8085880387621,512.772875206709,473.92656240341194,656.7905709427569,1666.272647257509,1097.21047482832,823.6140273402142
C014,32,Add Potato,415.92932655679334,506.75419046740967,549.0825594651436,464.14971496445287,766.1722683651367,1474.6856993595472,1092.670827728462,857.6141758151675
C014,32,Add Salt,125.84306685834612,151.200210812223,139.881383931791,139.15585070773434,163.0842195003,407.0707911189657,331.5694391424032,274.846699087733
C014,32,Add Tomtato,414.71992926922815,496.2636589728887,639.8054733621528,536.0366448768739,701.4792942343581,1710.7790730027891,1286.446285755772,940.9141164909723
C014,32,Add pepper,255.27721074070033,338.6390941121888,450.12017324609127,432.17891233708633,770.096999182826,1061.6770127755951,886.9718757004117,645.5320403997952
C014,32,Post last step,1904.520387966376,2218.451593305557,2236.741440491142,2221.16838583182,2242.211111290959,4138.863224836941,3423.4687353143745,3187.086012106625
C014,32,Pour Broth,668.839771322052,797.1442012201313,1030.3005517009008,881.1658978495193,740.421443335588,1218.441524805237,976.7578311250152,972.2523613411232
C014,32,Stir Stew,227.0916170634726,346.5457322918519,221.35233233277816,245.8354848156493,179.36713559200837,986.7407925908625,702.3869828840891,549.3916515797416
C015,33,Add Beef,1309.9214668312366,1754.9881208183488,1829.2641374050606,1805.22491289296,1682.3591922860755,4344.701474486676,3481.6956261979844,2629.2776802597273
C015,33,Add Carrot,1186.9601022011057,1423.4781532135733,1888.0126667969378,1548.164235606596,2091.7343127478975,3677.512172915338,2910.438663102728,2137.74078067357
C015,33,Add Onion,854.0960367313874,1072.5435355954844,1182.5242493874998,1161.2921672485704,1063.0345949284028,2856.981206750344,2043.2412908051951,1535.6294556394696
C015,33,Add Potato,1091.2051746794823,1416.405835073231,1593.8671884232165,1381.6639003069574,1792.161976306791,4351.267943837476,3147.132504426435,2155.0761157497104
C015,33,Add Salt,95.99266223231831,120.66050556517305,74.27932687401483,74.1449693589654,105.63889890228265,255.92185774455078,278.34393957164895,198.12599190583438
C015,33,Add Tomtato,518.6398948002475,629.7859549468253,857.3099026982461,728.8919504212104,914.524495887264,1572.3411486961925,1079.3601731657468,811.5710433780537
C015,33,Add pepper,190.5852102900258,267.9782449396927,293.2065087655949,262.52276334938836,283.3747018095741,571.5091072454703,483.80998138978623,359.81116169878106
C015,33,Post last step,1128.8120473220629,1444.740033088008,1517.3882255095364,1455.8875929753262,1663.8257388884635,2384.06247573954,1797.042754401963,1494.990923667056
