Participant,Add Beef,Add Carrot,Add Onion,Add Potato,Add Salt,Add Tomtato,Add pepper,Pour Broth,Stir Stew,Time Spent S.D
C001,52.27188899999999,34.762208999999984,27.860944999999987,14.297990000000027,7.0108339999999885,20.721237000000002,6.710510999999997,57.77793700000001,7.912108999999987,19.373009985773553
C003,87.484374,36.38455199999993,40.78417999999999,21.399046999999996,6.854889000000014,20.017150999999956,7.587188999999967,104.225967,9.285583999999972,35.630608511171644
C006,37.41405899999998,73.88568000000006,25.319518999999985,17.13737500000002,13.57514900000001,20.132569000000018,5.944030999999995,21.941378999999998,18.320769999999982,19.902276083290094
C008,61.839363999999975,57.6126100000001,40.598389,15.379210999999998,10.810608000000002,22.791549000000003,3.4018860000000473,39.262649,35.785950000000014,20.357013784569556
C009,121.01393099999999,63.153351999999984,0.0,27.016723999999954,9.573608000000036,29.738891000000024,8.732483000000002,121.301595,15.16384899999997,47.3838466614094
C012,56.336768,30.183820999999995,33.26257399999999,25.584487999999965,4.000304999999997,21.929290999999978,11.340332000000018,19.974799,17.74264500000004,14.95829323575964
C013,100.69375999999997,70.59619100000003,55.13246299999997,23.648376999999982,0.0,27.470719000000003,0.0,46.458513,82.66708399999999,35.520103238086335
C016,44.524572999999975,22.732069999999993,22.03877100000001,15.99748199999999,4.45773299999999,19.105745000000013,6.1742710000000045,14.194175000000001,15.073944000000012,11.689684042807363
C017,47.89938300000003,35.231629999999996,68.76860099999999,18.104278999999963,7.267639000000031,28.767669000000012,9.508788999999979,73.85160799999998,9.513427000000036,25.446555485181584
C020,36.10415600000002,31.794038,57.33212299999997,48.73150599999997,8.63348400000001,28.25981300000001,8.524993999999992,40.670754,13.947266000000013,17.424497257135858
C021,95.17152499999997,67.10351600000013,49.33749299999994,29.38400200000001,11.177123999999935,31.105530999999985,11.198792000000026,113.078224,34.89428699999996,35.93208480475368
C024,38.95835499999997,28.60024899999999,18.09958500000002,18.840324000000038,4.679534999999987,14.433403000000013,4.981522000000012,16.286718,16.26889,10.711102226119912
C025,54.821472,37.38241699999992,73.614304,27.907836999999972,5.454926,23.054625999999985,13.755920000000003,28.85137900000001,13.619903000000022,21.660530055533254
C028,51.00620900000002,58.90927100000002,49.48575000000004,25.18141300000005,4.601317999999992,23.841414999999984,7.899353000000019,25.673342,17.653564000000017,19.425700577809742
C029,0.0,449.896296,0.0,0.0,0.0,0.0,0.0,0.0,99.99554499999994,149.50246369072403
C032,58.92111200000002,21.67456100000001,32.53083800000002,15.779266999999976,3.3234259999999836,16.111053,8.424559999999985,26.743065,7.765776999999986,16.958551937563787
